Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Lachlan Wells","PHI",4,6,,4.880201577639429,16,16,0,0,,79.30000305175781,344,88,46,43,13,17,0,4,54,6.128625237035561,1.929382019066751,3.176470588235294,1.475409779286339,0.1569767441860465,0.04941860465116279,0.10755813953488372,0.2724458204334365,1.324085699359535,0.29296875,0.6797235023041475,,,4.7301619375334365,0.5313068009105945,,,,,,,,,243.12002258300782,3.0658261440964556,272.50001525878906,3.4363178407563586,,,,,,,,,,,,,,,,,,,"Lachlan Wells","sa877857",649143
"Robinson Piña","MIA",7,10,,4.773384904216149,24,20,0,0,,103.69999694824219,465,112,59,55,14,41,0,7,81,7.0298941316637835,3.5583414740520385,1.975609756097561,1.2150434301641106,0.17419354838709677,0.08817204301075268,0.08602150537634409,0.2685851318944844,1.4754098794849915,0.30434782608695654,0.704647676161919,,,4.747964877868479,0.5307658361096088,,,,,,,,,321.9799774169922,3.1049179063881356,354.49998474121094,3.4185149004213162,,,,,,,,,,,,,,,,,,,"Robinson Pina","23091",673820
"Hurston Waldrep","ATL",6,6,,4.581123923854923,20,20,0,0.6258999705314636,,94.30000305175781,421,95,52,48,13,44,0,2,84,8.016966866746117,4.1993635968670135,1.9090909090909092,1.2407210627107084,0.1995249406175772,0.10451306413301663,0.09501187648456057,0.25333333333333335,1.4740190403144313,0.2949640287769784,0.7201986754966888,,,4.640498818604226,0.5262092801519623,,,,,,,,,323.4236224651337,3.429730774108441,335.0036151409149,3.5525302682868816,,,,,,,,,,,,,,,,,,,"Hurston Waldrep","33527",694462
"Penn Murfee","CHW",2,3,,4.172185500731235,29,5,1.965000033378601,11.300000190734863,,45.29999923706055,192,41,23,21,5,17,2,3,46,9.139073001601751,3.3774835005919517,2.7058823529411766,0.9933775001741034,0.23958333333333334,0.08854166666666667,0.15104166666666669,0.23837209302325582,1.2803532224466223,0.2975206611570248,0.6862745098039216,,,3.8949566117508043,0.5249553178265269,,,,,,,,,254.1449952840805,5.61026489104576,248.5249971151352,5.486203119222428,,,,,,,,,,,,,,,,,,,"Penn Murfee","25174",682171
"Zach Penrod","BOS",5,5,,4.4783307129485594,28,11,0,0,,62.29999923706055,275,58,34,31,7,31,0,4,63,9.101123706959973,4.4783307129485594,2.032258064516129,1.011235967439997,0.2290909090909091,0.11272727272727273,0.11636363636363636,0.24166666666666667,1.4285714460660275,0.3,0.6944444444444444,,,4.29007529766757,0.5245459898014809,,,,,,,,,245.11999435424804,3.9345103909476924,241.49999618530273,3.8764044806222255,,,,,,,,,,,,,,,,,,,"Zach Penrod","25368",683068
"Tim Herrin","CLE",4,3,,3.444976034636234,62,0,0,13.539299964904785,,62.70000076293945,266,52,26,24,5,27,0,3,65,9.3301434271398,3.875598038965763,2.4074074074074074,0.7177033405492154,0.24436090225563908,0.10150375939849623,0.14285714285714285,0.22033898305084745,1.259968086741956,0.28313253012048195,0.7361111111111112,,,3.5652038563726927,0.5235004745990078,,,,,,,,,361.43720550537114,5.764548661999514,342.6572036743164,5.4650271053402175,,,,,,,,,,,,,,,,,,,"Tim Herrin","25139",682120
"Cole Irvin","MIN",6,8,,4.757033124319582,27,19,0,0,,117.30000305175781,508,129,67,62,19,29,1,7,83,6.368286279331054,2.225063880730127,2.8620689655172415,1.4578004735818075,0.16338582677165353,0.05708661417322835,0.10629921259842517,0.2733050847457627,1.3469735369937168,0.2972972972972973,0.6925418569254186,,,4.777732933301267,0.5192100919347504,,,,,,,,,356.9200225830078,3.042796362294375,397.50001525878906,3.3887468449885287,,,,,,,,,,,,,,,,,,,"Cole Irvin","19244",608344
"Ryan Lobus","TEX",6,6,,4.649446319938694,26,12,0,0,,81.30000305175781,350,77,45,42,13,25,0,7,77,8.523984919887607,2.76752757139208,3.08,1.4391143371238817,0.22,0.07142857142857142,0.14857142857142858,0.24213836477987422,1.2546124990310763,0.2807017543859649,0.6801909307875895,,,4.531793380176555,0.5189002231571433,,,,,,,,,299.52002258300786,3.684132980810901,295.50001525878906,3.6346863981132405,,,,,,,,,,,,,,,,,,,"Ryan Lobus","sa3022744",815590
"Josh Sborz","TEX",3,2,,3.7413395578386965,47,0,2.0199999809265137,0.5889000296592712,,43.29999923706055,184,38,19,18,4,17,1,0,48,9.976905487569857,3.5334873601809913,2.823529411764706,0.8314087906308214,0.2608695652173913,0.09239130434782608,0.16847826086956522,0.2275449101796407,1.2702078745748662,0.2956521739130435,0.728744939271255,,,3.3281425986902327,0.5185895737472667,,,,,,,,,229.8755943775177,5.308905275470924,221.9555962085724,5.125995383819781,,,,,,,,,,,,,,,,,,,"Josh Sborz","18323",622250
"Michael Kopech","LAD",7,6,,4.214046966112049,45,11,2.6070001125335693,9.918999671936035,,89.69999694824219,378,71,45,42,14,44,1,5,104,10.434782963706025,4.414715869260242,2.3636363636363638,1.4046823220373494,0.2751322751322751,0.1164021164021164,0.15873015873015872,0.21580547112462006,1.2820513256690094,0.27014218009478674,0.7337526205450733,,,4.515420738341535,0.5162087176777465,,,,,,,,,420.69097666740413,4.689977602899441,380.2109839916229,4.238695617916337,,,,,,,,,,,,,,,,,,,"Michael Kopech","17282",656629
