Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"J.P. Feyereisen","LAD",0.0481,0.0498,0,4.82922,1,0,0,0,,1,4.355,1.0576,0.572,0.53658,0.173556,0.3379,0.0245,0.0361,0.7502,6.7518,3.0411,2.22018,1.562,0.172262,0.077589,0.0946727767586708,0.265662,1.3955,0.289164,0.71452,0.380532,,5.01296,-0.00598368,-0.0462036,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"J.P. Feyereisen","16610",656420
"Willian Suarez",,0.0453,0.0526,0,4.76838,1,0,0,0,,1,4.466,0.9954,0.568,0.52982,0.137556,0.5195,0.0271,0.0471,0.8476,7.6284,4.6755,1.63157,1.238,0.18979,0.116323,0.07346618175506592,0.25527,1.5149,0.294363,0.716089,0.41,,4.92796,-0.00598551,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Willian Suarez","sa916841",665980
"Cory Wall","ATL",0.0485,0.0571,0.0203,4.80258,0.7295,0.0575,0,0,,1,4.378,1.0419,0.5695,0.53362,0.156333,0.3745,0.019,0.0463,0.8067,7.2603,3.3705,2.15407,1.407,0.184262,0.0855413,0.09872088581323624,0.263292,1.4164,0.295764,0.707204,0.386036,,4.81647,-0.00598892,-0.0456668,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Cory Wall","sa3022944",696505
"Ivan Armstrong",,0.0453,0.0526,0,4.75164,1,0,0,0,,1,4.446,1.0354,0.568,0.52796,0.135333,0.4646,0.027,0.0489,0.7531,6.7779,4.1814,1.62096,1.218,0.169388,0.104498,0.06488978117704391,0.263293,1.5,0.295679,0.711161,0.438001,,4.92877,-0.0059946,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ivan Armstrong","sa3006358",678371
"Dylan Phillips","LAA",0.0438,0.0578,0.0089,4.81509,0.8755,0.0265,0,0,,1,4.428,1.0426,0.5726,0.53501,0.153333,0.4278,0.0233,0.056,0.7613,6.8517,3.8502,1.77957,1.38,0.171929,0.0966125,0.0753161758184433,0.264338,1.4704,0.293529,0.714961,0.401212,,5.05727,-0.00600406,-0.0465809,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Dylan Phillips","sa3019862",701488
"Kade Strowd","ARI",2.1737,2.1367,0,4.14228,44,0,0,3.8531,,44,191.388,43.0104,22.0116,20.2512,4.444,19.9158,1.1208,1.8297,39.6507,8.11037,4.07369,1.99092,0.909,0.207174,0.10406,0.10311461985111237,0.253536,1.43014,0.307185,0.721539,0.480336,,4.12848,-0.00601678,0.14438,999,,,,,,,194.60000000000002,4.422727272727273,198,4.5,6.88,5.79,5.12,4.61,4.17,3.78,3.4,3.01,2.53,5.29,4.99,4.78,4.62,4.46,4.32,4.16,3.99,3.77,"Kade Strowd","26191",669704
"Mike Paredes","MIN",0.0453,0.0579,0.0126,4.92705,0.8194,0.0384,0,0,,1,4.391,1.0832,0.5839,0.54745,0.158222,0.3485,0.0216,0.041,0.7052,6.3468,3.1365,2.02353,1.424,0.160601,0.0793669,0.08123435080051422,0.270698,1.4317,0.294759,0.700552,0.384243,,4.95013,-0.00601682,-0.0473774,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Mike Paredes","sa3017968",702474
"Sean Sullivan","PIT",0.0469,0.0643,0.0352,4.89492,0.5374,0.0984,0,0,,1,4.399,1.0732,0.5811,0.54388,0.151778,0.3731,0.0139,0.0385,0.7182,6.4638,3.3579,1.92495,1.366,0.163264,0.0848147,0.07844965159893036,0.269148,1.4463,0.295572,0.701242,0.391169,,4.90665,-0.00602127,-0.0442872,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Sean Sullivan","sa3018185",696155
"Austin Hansen",,0.0475,0.0624,0.0323,4.86063,0.5811,0.0891,0,0,,1,4.438,1.0435,0.5794,0.54007,0.143556,0.4541,0.0153,0.0387,0.7741,6.9669,4.0869,1.70469,1.292,0.174425,0.102321,0.0721045434474945,0.264499,1.4976,0.297252,0.708148,0.423991,,4.93156,-0.00602588,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Austin Hansen","sa3006956",667712
"Colin Peluse","PHI",0.0455,0.0524,0,4.87179,1,0,0,0,,1,4.38,1.0602,0.5785,0.54131,0.163,0.3728,0.0266,0.0393,0.7171,6.4539,3.3552,1.92355,1.467,0.163721,0.0851142,0.07860730588436127,0.267194,1.433,0.290563,0.709246,0.399883,,5.05624,-0.00603135,-0.0442271,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Colin Peluse","sa3011126",668761
